Line,CPT-4 Code,CPT-4 Procedure
Anesthesia Services,00100,"Anesth, salivary gland"
Anesthesia Services,00102,"Anesth, repair of cleft lip"
Anesthesia Services,00103,"Anesth, blepharoplasty"
Anesthesia Services,00104,"Anesth, electroshock"
Anesthesia Services,00120,"Anesth, ear surgery"
Anesthesia Services,00124,"Anesth, ear exam"
Anesthesia Services,00126,"Anesth, tympanotomy"
Anesthesia Services,00140,"Anesth, procedures on eye"
Anesthesia Services,00142,"Anesth, lens surgery"
Anesthesia Services,00144,"Anesth, corneal transplant"
Anesthesia Services,00145,"Anesth, vitreoretinal surg"
Anesthesia Services,00147,"Anesth, iridectomy"
Anesthesia Services,00148,"Anesth, eye exam"
Anesthesia Services,00160,"Anesth, nose/sinus surgery"
Anesthesia Services,00162,"Anesth, nose/sinus surgery"
Anesthesia Services,00164,"Anesth, biopsy of nose"
Anesthesia Services,00170,"Anesth, procedure on mouth"
Anesthesia Services,00172,"Anesth, cleft palate repair"
Anesthesia Services,00174,"Anesth, pharyngeal surgery"
Anesthesia Services,00176,"Anesth, pharyngeal surgery"
Anesthesia Services,00190,"Anesth, face/skull bone surg"
Anesthesia Services,00192,"Anesth, facial bone surgery"
Anesthesia Services,00210,"Anesth, cranial surg nos"
Anesthesia Services,00211,"Anesth, cran surg, hemotoma"
Anesthesia Services,00212,"Anesth, skull drainage"
Anesthesia Services,00214,"Anesth, skull drainage"
Anesthesia Services,00215,"Anesth, skull repair/fract"
Anesthesia Services,00216,"Anesth, head vessel surgery"
Anesthesia Services,00218,"Anesth, special head surgery"
Anesthesia Services,00220,"Anesth, intrcrn nerve"
Anesthesia Services,00222,"Anesth, head nerve surgery"
Anesthesia Services,00300,"Anesth, head/neck/ptrunk"
Anesthesia Services,00320,"Anesth, neck organ, 1 & over"
Anesthesia Services,00322,"Anesth, biopsy of thyroid"
Anesthesia Services,00326,"Anesth, larynx/trach, < 1 yr"
Anesthesia Services,00350,"Anesth, neck vessel surgery"
Anesthesia Services,00352,"Anesth, neck vessel surgery"
Anesthesia Services,00400,"Anesth, skin, ext/per/atrunk"
Anesthesia Services,00402,"Anesth, surgery of breast"
Anesthesia Services,00404,"Anesth, surgery of breast"
Anesthesia Services,00406,"Anesth, surgery of breast"
Anesthesia Services,00410,"Anesth, correct heart rhythm"
Anesthesia Services,00420,No Longer Valid
Anesthesia Services,00450,"Anesth, surgery of shoulder"
Anesthesia Services,00452,"Anesth, surgery of shoulder"
Anesthesia Services,00454,"Anesth, collar bone biopsy"
Anesthesia Services,00470,"Anesth, removal of rib"
Anesthesia Services,00472,"Anesth, chest wall repair"
